Tim Burton  ,  director (4 episodes 2022) ,  seer , anything , 
James Marshall  ,  director (2 episodes 2022) ,  werewolf , vegetarian , 
Gandja Monteiro  ,  director (2 episodes 2022) ,  human , flexitarian , 
Charles Addams  ,  based on characters created by (8 episodes 2022) ,  human , flexitarian , 
Alfred Gough  ,  writer  (4 episodes 2022) ,  human , flexitarian , 
Miles Millar  ,  writer  (4 episodes 2022) ,  werewolf , flexitarian , 
Kayla Alpert  ,  writer  (2 episodes 2022) ,  vampire , vegetarian , 
April Blair  ,  writer  (2 episodes 2022) ,  vampire , flexitarian , 
Matt Lambert  ,  writer  (1 episodes 2022) ,  werewolf , flexitarian , 
Jenna Ortega  ,  actor/actress: Wednesday Addams (8 episodes 2022) ,  vampire , anything , 
Gwendoline Christie  ,  actor/actress: Principal Larissa Weems (8 episodes 2022) ,  vampire , vegetarian , 
Riki Lindhome  ,  actor/actress: Dr. Valerie Kinbott (8 episodes 2022) ,  mermaid , flexitarian , 
Emma Myers  ,  actor/actress: Enid Sinclair (8 episodes 2022) ,  seer , anything , 
Joy Sunday  ,  actor/actress: Bianca Barclay (8 episodes 2022) ,  human , vegetarian , 
Naomi J. Ogawa  ,  actor/actress: Yoko Tanaka (8 episodes 2022) ,  seer , anything , 
Christina Ricci  ,  actor/actress: Marilyn Thornhill (8 episodes 2022) ,  mermaid , vegetarian , 
Jamie McShane  ,  actor/actress: Sheriff Donovan Galpin (8 episodes 2022) ,  seer , anything , 
Hunter Doohan  ,  actor/actress: Tyler Galpin (8 episodes 2022) ,  mermaid , anything , 
Percy Hynes White  ,  actor/actress: Xavier Thorpe (8 episodes 2022) ,  werewolf , anything , 
Georgie Farmer  ,  actor/actress: Ajax Petropolus (8 episodes 2022) ,  werewolf , vegetarian , 
Johnna Dias-Watson  ,  actor/actress: Divina (8 episodes 2022) ,  werewolf , anything , 
Oliver Watson  ,  actor/actress: Kent (8 episodes 2022) ,  vampire , flexitarian , 
Victor Dorobantu  ,  actor/actress: Thing (8 episodes 2022) ,  werewolf , anything , 
Moosa Mostafa  ,  actor/actress: Eugene Ottinger (8 episodes 2022) ,  vampire , flexitarian , 
Daniel Himschoot  ,  actor/actress: Hyde Monster (8 episodes 2022) ,  mermaid , vegetarian , 
Luyanda Unati Lewis-Nyawo  ,  actor/actress: Deputy Ritchie Santiago (8 episodes 2022) ,  werewolf , flexitarian , 
Iman Marson  ,  actor/actress: Lucas (8 episodes 2022) ,  seer , flexitarian , 
Calum Ross  ,  actor/actress: Rowan Laslow (8 episodes 2022) ,  mermaid , anything , 
Cezar Grumazescu  ,  actor/actress: Coach Vlad (8 episodes 2022) ,  mermaid , anything , 
Tommie Earl Jenkins  ,  actor/actress: Mayor Noble Walker (8 episodes 2022) ,  vampire , flexitarian , 
Catherine Zeta-Jones  ,  actor/actress: Morticia Addams (8 episodes 2022) ,  seer , vegetarian , 
Morgan Beale  ,  actor/actress: Jonah (8 episodes 2022) ,  vampire , vegetarian , 
George Burcea  ,  actor/actress: Lurch (8 episodes 2022) ,  human , anything , 
Islam Bouakkaz  ,  actor/actress: Carter (8 episodes 2022) ,  werewolf , anything , 
William Houston  ,  actor/actress: Joseph Crackstone (8 episodes 2022) ,  human , anything , 
Karina Varadi  ,  actor/actress: Wednesday (6yo)  (8 episodes 2022) ,  vampire , anything , 
Rina Mahoney  ,  actor/actress: Janet Ottinger (8 episodes 2022) ,  seer , anything , 
Georgia Goodman  ,  actor/actress: Sue Ottinger (8 episodes 2022) ,  seer , vegetarian , 
Murray McArthur  ,  actor/actress: Fabian (8 episodes 2022) ,  vampire , anything , 
Fred Armisen  ,  actor/actress: Uncle Fester (8 episodes 2022) ,  vampire , flexitarian , 
Luis Guzm�n  ,  actor/actress: Gomez Addams (8 episodes 2022) ,  seer , flexitarian , 
Olimpia Malai  ,  actor/actress: The Minister (8 episodes 2022) ,  mermaid , vegetarian , 
Isaac Ordonez  ,  actor/actress: Pugsley Addams (8 episodes 2022) ,  mermaid , vegetarian , 
Nitin Ganatra  ,  actor/actress: Dr. Anwar (8 episodes 2022) ,  werewolf , flexitarian , 
Lucius Hoyos  ,  actor/actress: Young Gomez (8 episodes 2022) ,  human , flexitarian , 
Cheherezade Valentine Okotaka Ebale  ,  actor/actress: Lou-Anne Walker (8 episodes 2022) ,  seer , vegetarian , 
Oliver Wickham  ,  actor/actress: Young Larissa Weems (8 episodes 2022) ,  human , vegetarian , 
Edward Kennedy  ,  actor/actress: MC Blood Suckaz (8 episodes 2022) ,  mermaid , anything , 
Ismail Kesu  ,  actor/actress: Young Sheriff Walker (8 episodes 2022) ,  mermaid , vegetarian , 
Caroline Lawrie  ,  actor/actress: Martha (8 episodes 2022) ,  seer , flexitarian , 
Lachele Carl  ,  actor/actress: Agnes (8 episodes 2022) ,  human , anything , 
Gwen Jones  ,  actor/actress: Young Morticia Addams (8 episodes 2022) ,  human , vegetarian , 
Lisa O'Hare  ,  actor/actress: Arlene (8 episodes 2022) ,  seer , anything , 
Sophia Nomvete  ,  actor/actress: Connie Jorgensen (8 episodes 2022) ,  seer , vegetarian , 
Ichir� Y�ki  ,  actor/actress: Kenichi Tanaka (8 episodes 2022) ,  werewolf , vegetarian , 
Amanda Drew  ,  actor/actress: Esther Sinclair (8 episodes 2022) ,  vampire , flexitarian , 
Ryan Ellsworth  ,  actor/actress: Murray Sinclair (8 episodes 2022) ,  mermaid , vegetarian , 
Gloria Garcia  ,  actor/actress: Goody's Mom (8 episodes 2022) ,  vampire , anything , 
Gracy Goldman  ,  actor/actress: Gabrielle (8 episodes 2022) ,  vampire , flexitarian , 
Lewis Hayes  ,  actor/actress: Garett Gates (8 episodes 2022) ,  mermaid , vegetarian , 
Philip Rosch  ,  actor/actress: Ansel Gates (8 episodes 2022) ,  seer , anything , 
Michael Okele  ,  actor/actress: Morga(uncredited) (8 episodes 2022) ,  seer , vegetarian , 
Chloe Cate  ,  actor/actress: Studen(uncredited) (8 episodes 2022) ,  human , flexitarian , 
Kayla Alpert  ,  executive producer (8 episodes 2022) ,  werewolf , anything , 
Gail Berman  ,  executive producer (8 episodes 2022) ,  werewolf , vegetarian , 
Tim Burton  ,  executive producer (8 episodes 2022) ,  vampire , anything , 
Jonathan Glickman  ,  executive producer (8 episodes 2022) ,  werewolf , anything , 
Carla Gonz�lez Vargas  ,  co-executive producer (8 episodes 2022) ,  vampire , vegetarian , 
Alfred Gough  ,  executive producer (8 episodes 2022) ,  human , vegetarian , 
Tommy Harper  ,  executive producer (8 episodes 2022) ,  human , flexitarian , 
Nick Iannelli  ,  co-producer (8 episodes 2022) ,  werewolf , vegetarian , 
Kevin Lafferty  ,  executive producer (8 episodes 2022) ,  mermaid , vegetarian , 
Miles Millar  ,  executive producer (8 episodes 2022) ,  human , anything , 
David Minkowski  ,  co-executive producer (8 episodes 2022) ,  werewolf , flexitarian , 
Kevin Miserocchi  ,  executive producer (8 episodes 2022) ,  vampire , anything , 
Andrew Mittman  ,  executive producer (8 episodes 2022) ,  vampire , flexitarian , 
Carmen Pepelea  ,  producer (8 episodes 2022) ,  human , flexitarian , 
Steve Stark  ,  executive producer (8 episodes 2022) ,  werewolf , flexitarian , 
Natalie Testa  ,  associate producer (8 episodes 2022) ,  mermaid , flexitarian , 
Todd Williams  ,  co-executive producer (8 episodes 2022) ,  seer , vegetarian , 
Chris Bacon  ,  music (7 episodes 2022) ,  werewolf , anything , 
Danny Elfman  ,  music (4 episodes 2022) ,  seer , anything , 
Stephan Pehrsson  ,  cinematography (4 episodes 2022) ,  mermaid , anything , 
David Lanzenberg  ,  cinematography (4 episodes 2022) ,  mermaid , vegetarian , 
Ana Yavari  ,  film editing (4 episodes 2022) ,  human , flexitarian , 
Jay Prychidny  ,  film editing (4 episodes 2022) ,  human , vegetarian , 
Paul G. Day  ,  film editing (1 episode 2022) ,  werewolf , vegetarian , 
Florina Fernandes  ,  casting (8 episodes 2022) ,  human , anything , 
Sophie Holland  ,  casting (8 episodes 2022) ,  werewolf , flexitarian , 
John Papsidera  ,  casting (8 episodes 2022) ,  werewolf , anything , 
Mark Scruton  ,  production design (8 episodes 2022) ,  mermaid , vegetarian , 
Adrian Curelea  ,  supervising art director (8 episodes 2022) ,  mermaid , anything , 
Ghinea Diana  ,  art direction (8 episodes 2022) ,  werewolf , vegetarian , 
Silvia Nancu  ,  art direction (8 episodes 2022) ,  human , vegetarian , 
Andrei-Florian Popa  ,  assistant art director / additional standby art director (8 episodes 2022) ,  seer , anything , 
Serban Porupca  ,  senior art director (8 episodes 2022) ,  seer , flexitarian , 
Vlad Roseanu  ,  on-set art director / art director (8 episodes 2022) ,  human , vegetarian , 
Roxana Alexandru  ,  art direction (3 episodes 2022) ,  vampire , flexitarian , 
Carmen Ratoi  ,  art direction (3 episodes 2022) ,  seer , vegetarian , 
Laurentiu Zarnoianu  ,  set direction (8 episodes 2022) ,  werewolf , flexitarian , 
David Morison  ,  set direction (4 episodes 2022) ,  werewolf , flexitarian , 
Rob Hepburn  ,  set direction (4 episodes 2022) ,  vampire , flexitarian , 
Colleen Atwood  ,  costume design (8 episodes 2022) ,  human , anything , 
Bianca Boeroiu  ,  makeup artist (8 episodes 2022) ,  vampire , anything , 
Catalin Ciutu  ,  hair stylist supervisor: crowd (8 episodes 2022) ,  seer , anything , 
Natalie L Costello  ,  special makeup effects artist (8 episodes 2022) ,  werewolf , vegetarian , 
Julian Hutcheson  ,  special makeup effects artist (8 episodes 2022) ,  vampire , flexitarian , 
Nirvana Jalalvand  ,  hair & makeup artist: main team (8 episodes 2022) ,  mermaid , anything , 
Grace McComisky  ,  prosthetic artist / prosthetic makeup artist (8 episodes 2022) ,  mermaid , anything , 
Tara McDonald  ,  hair & makeup designer (8 episodes 2022) ,  vampire , vegetarian , 
Dominic Mombrun  ,  dental effects designer & fabricator (8 episodes 2022) ,  seer , vegetarian , 
Angela Ruiz Morales  ,  prosthetics artist (8 episodes 2022) ,  human , anything , 
Paraschiv Oana  ,  makeup artist (8 episodes 2022) ,  seer , flexitarian , 
Alexandru Sassu  ,  assistant makeup artist (8 episodes 2022) ,  vampire , flexitarian , 
Bas Schwarz  ,  special effects makeup artist: mouldmaker & props (8 episodes 2022) ,  human , flexitarian , 
Rub�n Serra  ,  special makeup effects artist (8 episodes 2022) ,  mermaid , anything , 
Margo Stefan  ,  hair stylist (8 episodes 2022) ,  werewolf , anything , 
Viktoria Stieber  ,  prosthetic makeup artist (8 episodes 2022) ,  vampire , anything , 
Sinead Sweeney  ,  SFX contact lens coordinator (8 episodes 2022) ,  vampire , anything , 
Iuliana Temelie  ,  hair stylist (8 episodes 2022) ,  seer , anything , 
Clara Tudose  ,  hair & makeup artist (8 episodes 2022) ,  human , vegetarian , 
Raquel �lvarez  ,  prosthetic makeup sculptor (8 episodes 2022) ,  mermaid , vegetarian , 
Freda Ellis  ,  makeup supervisor (6 episodes 2022) ,  vampire , anything , 
Ripley Dale-Gulston  ,  junior hair & makeup artist (6 episodes 2022) ,  seer , vegetarian , 
Olimpia Stoicea  ,  hair & makeup artist: main team (6 episodes 2022) ,  human , flexitarian , 
Tia Costell  ,  junior hair & makeup artist (4 episodes 2022) ,  seer , anything , 
Susan Cole  ,  personal hair stylist: Luis Guzman (4 episodes 2022) ,  human , vegetarian , 
Jean Carlos de Blas  ,  key hair & makeup artist (4 episodes 2022) ,  vampire , flexitarian , 
Gabriella Havens  ,  makeup artist (3 episodes 2022) ,  mermaid , anything , 
Sheherezada Kouchaki  ,  makeup artist (4 episodes 2022) ,  mermaid , flexitarian , 
Raluca Moldoveanu  ,  makeup artist (4 episodes 2022) ,  werewolf , flexitarian , 
Andrea Dardea Tesdall  ,  special makeup effects artist (3 episodes 2022) ,  human , flexitarian , 
Nicoleta Toader  ,  hair stylist: cast (4 episodes 2022) ,  human , vegetarian , 
Natalie Fox  ,  additional hair & makeup artist (2 episodes 2022) ,  werewolf , flexitarian , 
Niki De Jong  ,  prosthetic makeup artist (1 episode 2022) ,  seer , flexitarian , 
Ionel Popa  ,  special makeup effects artist (1 episode 2022) ,  mermaid , flexitarian , 
Athina Sapanidis  ,  prosthethic makeup artist (1 episode 2022) ,  seer , anything , 
Razvan Badea  ,  unit production manager / production manager (8 episodes 2022) ,  human , vegetarian , 
Irene Iovan Calangiu  ,  health & safety unit production manager: covid (8 episodes 2022) ,  werewolf , flexitarian , 
Alexandru Cseh  ,  production manager: second unit (8 episodes 2022) ,  seer , vegetarian , 
Emma Mallett  ,  unit production manager: additional photography (1 episode 2022) ,  vampire , anything , 
Alexandru Acsinte  ,  assistant director (8 episodes 2022) ,  mermaid , vegetarian , 
Emilie Balusson  ,  second second assistant director / co-second assistant director (8 episodes 2022) ,  mermaid , vegetarian , 
Bianca Bumbacea  ,  assistant director (8 episodes 2022) ,  human , flexitarian , 
Simona Dinu  ,  second assistant director (8 episodes 2022) ,  vampire , anything , 
Mariana Grama  ,  crowd second assistant director (8 episodes 2022) ,  mermaid , vegetarian , 
Mircea Hategan  ,  first assistant director (8 episodes 2022) ,  mermaid , flexitarian , 
Stefania Ispas  ,  trainee assistant director (8 episodes 2022) ,  werewolf , vegetarian , 
Loyzo  ,  third assistant director (8 episodes 2022) ,  vampire , vegetarian , 
Raphael Tudor  ,  third assistant director (8 episodes 2022) ,  mermaid , flexitarian , 
Costin Sforaru  ,  assistant director (7 episodes 2022) ,  mermaid , flexitarian , 
Sabina Balan  ,  crowd first assistant director (6 episodes 2022) ,  werewolf , flexitarian , 
Brett Chan  ,  second unit director (6 episodes 2022) ,  mermaid , anything , 
Ada Dumitru  ,  cast assistant (6 episodes 2022) ,  mermaid , vegetarian , 
Emyr Glyn Rees  ,  second assistant director / first assistant director (6 episodes 2022) ,  mermaid , vegetarian , 
Jessica Kirec  ,  second assistant director (4 episodes 2022) ,  seer , flexitarian , 
George Walker  ,  first assistant director (4 episodes 2022) ,  mermaid , vegetarian , 
Richard O'Brien-Moran  ,  first assistant director (2 episodes 2022) ,  seer , flexitarian , 
Mihaela Ionita  ,  second assistant director (2 episodes 2022) ,  human , vegetarian , 
Alexandra Popa  ,  crowd second assistant director (1 episode 2022) ,  mermaid , flexitarian , 
Alexandru Trandafira  ,  crowd assistant director (2 episodes 2022) ,  mermaid , flexitarian , 
Sucioaia Alexandra  ,  set dressing painter (8 episodes 2022) ,  werewolf , flexitarian , 
Tache Alexandru  ,  graphic designer (8 episodes 2022) ,  human , vegetarian , 
Corneliu Mihai Bonciu  ,  sculptor (8 episodes 2022) ,  seer , anything , 
Rachel Garlick  ,  storyboard artist (8 episodes 2022) ,  human , vegetarian , 
Florin Gavrila  ,  lead set dressing painter (8 episodes 2022) ,  werewolf , vegetarian , 
Adi Handac  ,  property master (8 episodes 2022) ,  seer , flexitarian , 
Dana Ilie  ,  art department manager (8 episodes 2022) ,  mermaid , flexitarian , 
Alexandru Titus Ipate  ,  action vehicles supervisor (8 episodes 2022) ,  werewolf , anything , 
Simona Maican  ,  art department coordinator (8 episodes 2022) ,  vampire , vegetarian , 
Cristian Mihaila  ,  assistant set decorator / set decoration buyer (8 episodes 2022) ,  werewolf , flexitarian , 
Cosmin Miroiu  ,  head of greenery (8 episodes 2022) ,  mermaid , anything , 
Amalia Mititelu  ,  set dressing painter (8 episodes 2022) ,  mermaid , flexitarian , 
Pietro Nume  ,  concept artist (8 episodes 2022) ,  human , vegetarian , 
Iulia Petrescu  ,  assistant set decorator (8 episodes 2022) ,  seer , vegetarian , 
Madalina Ripanu  ,  clearance coordinator (8 episodes 2022) ,  vampire , flexitarian , 
Geaniloni Sandru  ,  lead painter (8 episodes 2022) ,  human , flexitarian , 
Eusebiu Sirbu  ,  head graphic designer (8 episodes 2022) ,  seer , vegetarian , 
Cristina Stefan  ,  graphic designer (8 episodes 2022) ,  werewolf , anything , 
Alexandra Tudor  ,  assistant art director (8 episodes 2022) ,  vampire , anything , 
Laurentiu Zarnoianu  ,  leadman (8 episodes 2022) ,  vampire , anything , 
Liviu Antonescu  ,  graphic designer (6 episodes 2022) ,  human , vegetarian , 
Madalina Ciosu  ,  set designer (6 episodes 2022) ,  werewolf , flexitarian , 
Tudor Iordachescu  ,  set designer (6 episodes 2022) ,  vampire , anything , 
Anca Iscru  ,  set designer (6 episodes 2022) ,  human , anything , 
Ana Neag  ,  assistant art director (6 episodes 2022) ,  vampire , flexitarian , 
Iulia Pasarica  ,  assistant art director (6 episodes 2022) ,  human , flexitarian , 
Andreea Siminea  ,  set designer (6 episodes 2022) ,  seer , flexitarian , 
Amy Lockwood  ,  assistant set decorator (4 episodes 2022) ,  human , flexitarian , 
Andrew Cherry  ,  storyboard artist (3 episodes 2022) ,  human , anything , 
Cristian Darstar  ,  storyboard artist (3 episodes 2022) ,  seer , vegetarian , 
Adrian Curelea  ,  supervising art director (2 episodes 2022) ,  human , vegetarian , 
Serban Porupca  ,  senior art director (2 episodes 2022) ,  seer , anything , 
Radu Costache  ,  assistant property master (1 episode 2022) ,  seer , anything , 
Jennifer Keen  ,  first set decoration buyer (1 episode 2022) ,  mermaid , flexitarian , 
Karen Krizanovich  ,  production design researcher (1 episode 2022) ,  werewolf , flexitarian , 
Ben Livingstone  ,  illustrator (1 episode 2022) ,  mermaid , vegetarian , 
Yohann Angelvy  ,  french casting mixer (8 episodes 2022) ,  vampire , vegetarian , 
Michael Baskerville  ,  re-recording mixer (8 episodes 2022) ,  human , vegetarian , 
Nicolae Comarzan  ,  sound mixer: second unit (8 episodes 2022) ,  werewolf , vegetarian , 
Tony Diaz  ,  adr mixer (8 episodes 2022) ,  vampire , anything , 
Arturo A. Fuenmayor  ,  re-recording mix assistant / additional re-recording mixer (8 episodes 2022) ,  seer , vegetarian , 
Alastair Gray  ,  dialogue editor (8 episodes 2022) ,  werewolf , vegetarian , 
Justin Helle  ,  foley mixer (8 episodes 2022) ,  vampire , flexitarian , 
John Loranger  ,  supervising sound editor (8 episodes 2022) ,  seer , anything , 
Liviu Lupsa  ,  sound mixer (8 episodes 2022) ,  human , anything , 
Kristi McIntyre  ,  adr editor / sound effects editor (8 episodes 2022) ,  vampire , vegetarian , 
Sean Miller  ,  adr recordist (8 episodes 2022) ,  mermaid , flexitarian , 
Faustine Pelipel  ,  assistant sound editor (8 episodes 2022) ,  werewolf , vegetarian , 
Dan Sexton  ,  sound effects editor (8 episodes 2022) ,  werewolf , vegetarian , 
Alex Stylianou  ,  adr recordist (8 episodes 2022) ,  mermaid , flexitarian , 
Jamie Sulek  ,  re-recording mixer (8 episodes 2022) ,  human , vegetarian , 
Mike Tehrani  ,  adr mixer (8 episodes 2022) ,  seer , anything , 
Marcus Byrne  ,  adr mixer (7 episodes 2022) ,  seer , vegetarian , 
Greg Crawford  ,  adr mixer (7 episodes 2022) ,  werewolf , vegetarian , 
Juan Martin Del Campo  ,  adr mixer (7 episodes 2022) ,  seer , anything , 
Tim McKeever  ,  adr mixer (7 episodes 2022) ,  human , anything , 
Simon Diggins  ,  adr mixer (6 episodes 2022) ,  werewolf , anything , 
Jonathan Gomez  ,  adr mixer (4 episodes 2022) ,  werewolf , flexitarian , 
Nathan Jackson  ,  foley editor (1 episode 2022) ,  vampire , anything , 
William Kellerman  ,  foley artist (1 episode 2022) ,  seer , vegetarian , 
Leslie Liu  ,  adr mixer (2 episodes 2022) ,  human , vegetarian , 
Ana Quiroga  ,  audio coordinator (uncredited) (8 episodes 2022) ,  vampire , flexitarian , 
Dan Barcutean  ,  special effects technician (8 episodes 2022) ,  human , vegetarian , 
Max Costello  ,  special effects technician (7 episodes 2022) ,  werewolf , vegetarian , 
Florin Stoian  ,  special effects technician (8 episodes 2022) ,  mermaid , vegetarian , 
Harry Troughton  ,  special effects coordinator (8 episodes 2022) ,  vampire , vegetarian , 
Jason Troughton  ,  special effects supervisor (8 episodes 2022) ,  werewolf , vegetarian , 
Adrian Nica  ,  lead technician (4 episodes 2022) ,  werewolf , flexitarian , 
Ilinca Angelescu  ,  special effects makeup (1 episode 2022) ,  werewolf , anything , 
Yovko Dogandjiiski  ,  special effects supervisor (2 episodes 2022) ,  vampire , anything , 
Antonia Tocheva  ,  special effects office coordinator (2 episodes 2022) ,  werewolf , flexitarian , 
Matthew Adams  ,  digital compositor: Ghost VFX Toronto (8 episodes 2022) ,  human , vegetarian , 
Oana Bardan  ,  visual effects coordinator (8 episodes 2022) ,  werewolf , vegetarian , 
Craig Calvert  ,  visual effects supervisor: Mr. X (8 episodes 2022) ,  seer , vegetarian , 
Kevin Chandoo  ,  head of studio: Ghost VFX Toronto (8 episodes 2022) ,  mermaid , anything , 
Nick Colangelo  ,  visual effects producer: Mr. X (8 episodes 2022) ,  vampire , vegetarian , 
John Coldrick  ,  visual effects supervisor: Rocket Science VFX (8 episodes 2022) ,  seer , anything , 
Sam Cole  ,  lighting lead: Mr. X (8 episodes 2022) ,  werewolf , anything , 
Chris Cooper  ,  cg supervisor: Mr. X (8 episodes 2022) ,  human , flexitarian , 
Roger Dalupang  ,  lead render wrangler/pipeline td (8 episodes 2022) ,  werewolf , anything , 
Swedyl DSouza  ,  visual effects production manager (8 episodes 2022) ,  seer , vegetarian , 
Maxime Ducharme  ,  visual effects artist: MELS (2 episodes 2022) ,  mermaid , vegetarian , 
Paula Fanaia  ,  digital compositor: Ghost VFX Toronto (8 episodes 2022) ,  mermaid , vegetarian , 
Mariah Fleetham  ,  visual effects production assistant: Take 5 VFX (8 episodes 2022) ,  human , flexitarian , 
Kathryn Foster  ,  visual effects editor: Ghost VFX Toronto (8 episodes 2022) ,  human , flexitarian , 
Ben Funk  ,  lead compositor: Take 5 VFX (8 episodes 2022) ,  vampire , anything , 
Keith Goh  ,  visual effects assistant editor: MPC (8 episodes 2022) ,  vampire , anything , 
Kari-Lyn Gravel  ,  visual effects associate line producer: Stereo D (8 episodes 2022) ,  seer , anything , 
Jon Howard  ,  visual effects producer: Ghost VFX Toronto (6 episodes 2022) ,  human , anything , 
